                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9185,                 4.5309,                 2.4297,                0.09912,                0.00128,                0.00024,                  6e-05,                 3.0639,                 5.7613,                  2.377,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 2.9016,                 4.5094,                  2.378,                0.08458,                0.00477,                0.00052,                0.00019,                 2.9198,                 5.3128,                 2.2667,              1.196e-05,              1.196e-05,              1.196e-05
                      3,                 2.8628,                 4.3635,                 2.3925,                0.00127,                0.01281,                0.00281,                0.00142,                 2.8656,                 4.8491,                 2.2461,             9.3058e-06,             9.3058e-06,             9.3058e-06
