                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0151,                 4.0477,                 2.1373,                      0,                      0,                      0,                      0,                      0,                 285.53,                      0,             0.00015708,             0.00015708,             0.00015708
                      2,                 1.2429,                 3.2726,                 1.6238,                      0,                      0,                      0,                      0,                      0,                 266.03,                      0,             0.00021527,             0.00021527,             0.00021527
                      3,                 1.0972,                 2.8249,                 1.5405,                      0,                      0,                      0,                      0,                      0,                 208.74,                      0,             0.00016508,             0.00016508,             0.00016508
