                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.5056,                0.68491,                 1.0297,                0.99537,                0.99626,                  0.995,                0.94613,                0.33367,                0.35415,                0.87711,              0.0004666,              0.0004666,              0.0004666
                     37,                0.47069,                0.67338,                 1.0082,                0.98387,                0.99324,                  0.995,                0.94681,                0.32985,                0.38722,                0.87528,             0.00045953,             0.00045953,             0.00045953
                     38,                0.47871,                0.69374,                  1.008,                0.98909,                0.99797,                  0.995,                0.95396,                0.31653,                0.36302,                0.86442,             0.00045246,             0.00045246,             0.00045246
                     39,                0.49127,                0.72013,                 1.0118,                0.99209,                0.99423,                  0.995,                0.94441,                0.33058,                0.34994,                0.86687,             0.00044539,             0.00044539,             0.00044539
                     40,                0.47982,                 0.6481,                 1.0159,                0.98374,                      1,                  0.995,                0.95401,                0.31324,                0.36078,                0.86565,             0.00043832,             0.00043832,             0.00043832
                     41,                0.47408,                0.65967,                0.99893,                0.97486,                0.99206,                  0.995,                0.95735,                0.30988,                0.41001,                0.86938,             0.00043126,             0.00043126,             0.00043126
                     42,                 0.5043,                0.68435,                 1.0221,                 0.9908,                0.99773,                  0.995,                0.95746,                0.30986,                 0.3442,                0.86393,             0.00042419,             0.00042419,             0.00042419
                     43,                0.48237,                0.65345,                  1.004,                0.98943,                0.99151,                  0.995,                0.95919,                0.29967,                0.33605,                0.85907,             0.00041712,             0.00041712,             0.00041712
                     44,                0.48193,                0.66054,                 1.0238,                0.99574,                      1,                  0.995,                0.95792,                0.31235,                 0.3239,                0.86681,             0.00041005,             0.00041005,             0.00041005
                     45,                0.48167,                0.62806,                 1.0121,                0.99333,                0.99848,                  0.995,                0.95287,                0.31013,                0.35785,                0.86113,             0.00040298,             0.00040298,             0.00040298
                     46,                0.44322,                0.60707,                0.99174,                0.99222,                0.99572,                  0.995,                0.95992,                0.30213,                0.36139,                0.86786,             0.00039591,             0.00039591,             0.00039591
                     47,                0.48592,                0.60669,                0.99924,                0.99211,                0.99622,                  0.995,                0.95858,                0.31122,                0.34405,                0.86199,             0.00038884,             0.00038884,             0.00038884
                     48,                 0.4684,                 0.6176,                 1.0011,                0.99673,                      1,                  0.995,                0.96023,                0.30171,                 0.3323,                 0.8581,             0.00038178,             0.00038178,             0.00038178
                     49,                0.46464,                0.58648,                0.99804,                0.99633,                0.99931,                  0.995,                0.95537,                 0.3174,                0.31784,                0.86092,             0.00037471,             0.00037471,             0.00037471
                     50,                0.45946,                0.59637,                0.99516,                 0.9968,                 0.9963,                  0.995,                0.96201,                 0.2927,                0.31495,                0.85283,             0.00036764,             0.00036764,             0.00036764
                     51,                0.44528,                0.60471,                 1.0006,                0.99687,                0.99821,                  0.995,                0.96208,                0.28775,                0.30797,                0.85124,             0.00036057,             0.00036057,             0.00036057
                     52,                0.44298,                0.55318,                0.99802,                0.99558,                0.99816,                  0.995,                0.95488,                0.30837,                0.31433,                0.86096,              0.0003535,              0.0003535,              0.0003535
                     53,                0.42974,                0.54615,                0.98085,                0.99318,                0.99338,                  0.995,                0.95989,                0.30976,                0.32061,                0.85998,             0.00034643,             0.00034643,             0.00034643
                     54,                0.45001,                0.57584,                0.98371,                0.98992,                0.97623,                  0.995,                0.96368,                0.28232,                0.31514,                0.84725,             0.00033936,             0.00033936,             0.00033936
                     55,                0.43929,                0.54203,                0.97994,                0.99598,                0.99886,                  0.995,                0.96125,                 0.2957,                 0.3027,                 0.8527,              0.0003323,              0.0003323,              0.0003323
                     56,                0.46395,                0.56453,                 1.0025,                0.99706,                0.99742,                  0.995,                0.96129,                0.30757,                0.30603,                 0.8569,             0.00032523,             0.00032523,             0.00032523
                     57,                0.41758,                0.53004,                 0.9693,                0.99755,                      1,                  0.995,                0.96401,                0.28663,                0.28084,                0.84763,             0.00031816,             0.00031816,             0.00031816
                     58,                0.45374,                0.56011,                0.99496,                0.99762,                      1,                  0.995,                0.96359,                0.29048,                0.28624,                0.84795,             0.00031109,             0.00031109,             0.00031109
                     59,                0.43932,                 0.5518,                0.98815,                0.99517,                      1,                  0.995,                0.96817,                0.28117,                0.28753,                0.84374,             0.00030402,             0.00030402,             0.00030402
                     60,                0.43745,                  0.545,                0.98917,                0.99758,                0.99788,                  0.995,                0.97113,                0.27125,                0.27618,                0.84448,             0.00029695,             0.00029695,             0.00029695
                     61,                0.44876,                0.52649,                0.99807,                0.99545,                0.99766,                  0.995,                0.96927,                0.26554,                0.28109,                0.84289,             0.00028988,             0.00028988,             0.00028988
                     62,                0.43365,                0.53433,                0.97874,                 0.9942,                0.99906,                  0.995,                0.97365,                0.26271,                0.27994,                0.83716,             0.00028282,             0.00028282,             0.00028282
                     63,                0.43833,                0.50177,                0.98842,                0.99403,                0.98576,                0.99494,                0.96386,                0.27831,                0.28066,                0.84107,             0.00027575,             0.00027575,             0.00027575
                     64,                0.41343,                0.48432,                0.96552,                0.99591,                      1,                  0.995,                0.96722,                0.28711,                0.26342,                0.84159,             0.00026868,             0.00026868,             0.00026868
                     65,                0.43963,                0.51574,                0.98138,                0.99675,                      1,                  0.995,                0.97097,                 0.2664,                0.26175,                  0.836,             0.00026161,             0.00026161,             0.00026161
                     66,                0.42478,                0.50212,                0.98147,                0.99686,                      1,                  0.995,                0.97324,                0.26218,                0.25663,                0.83511,             0.00025454,             0.00025454,             0.00025454
                     67,                   0.43,                0.50444,                0.98147,                0.99767,                0.99967,                  0.995,                0.97037,                0.26746,                0.26607,                0.84079,             0.00024747,             0.00024747,             0.00024747
                     68,                0.42061,                0.47187,                0.97924,                0.99719,                      1,                  0.995,                0.97207,                0.26296,                0.26186,                0.84032,              0.0002404,              0.0002404,              0.0002404
                     69,                0.44188,                0.51203,                0.98975,                0.99633,                      1,                  0.995,                0.97148,                0.26122,                0.26191,                0.83748,             0.00023334,             0.00023334,             0.00023334
                     70,                0.40099,                0.48048,                  0.973,                0.99654,                0.99858,                  0.995,                0.97288,                0.26386,                0.25301,                0.83773,             0.00022627,             0.00022627,             0.00022627
                     71,                0.40821,                0.47889,                0.97418,                0.99633,                0.99947,                  0.995,                0.97623,                 0.2565,                0.24936,                0.83734,              0.0002192,              0.0002192,              0.0002192
                     72,                0.40135,                0.46633,                0.97752,                0.99701,                      1,                  0.995,                0.97619,                0.25154,                0.25204,                0.83888,             0.00021213,             0.00021213,             0.00021213
                     73,                0.40117,                0.46807,                0.96833,                0.99734,                      1,                  0.995,                 0.9755,                0.25366,                0.24769,                 0.8347,             0.00020506,             0.00020506,             0.00020506
                     74,                0.40182,                0.48207,                0.96549,                 0.9975,                      1,                  0.995,                0.97501,                0.25523,                0.24333,                0.83175,             0.00019799,             0.00019799,             0.00019799
                     75,                 0.3965,                0.47715,                0.97474,                0.99636,                0.99946,                  0.995,                0.97479,                0.25211,                0.24767,                0.83038,             0.00019092,             0.00019092,             0.00019092
                     76,                0.40451,                0.47822,                0.96973,                 0.9966,                      1,                  0.995,                0.97413,                0.25669,                0.24643,                0.83445,             0.00018385,             0.00018385,             0.00018385
                     77,                0.38848,                0.45185,                0.95828,                0.99634,                      1,                  0.995,                0.97386,                0.25718,                0.25043,                0.83465,             0.00017679,             0.00017679,             0.00017679
                     78,                0.38369,                0.45183,                0.95832,                0.99624,                      1,                  0.995,                0.97465,                0.25779,                0.24918,                0.83615,             0.00016972,             0.00016972,             0.00016972
                     79,                0.39023,                0.45242,                0.95625,                0.99708,                      1,                  0.995,                 0.9759,                0.25269,                0.23722,                0.83134,             0.00016265,             0.00016265,             0.00016265
                     80,                0.39832,                0.43581,                 0.9792,                0.99729,                      1,                  0.995,                0.97893,                0.24516,                0.23246,                0.83011,             0.00015558,             0.00015558,             0.00015558
                     81,                0.39775,                0.45308,                0.97254,                0.99697,                      1,                  0.995,                0.97632,                 0.2501,                0.23654,                 0.8303,             0.00014851,             0.00014851,             0.00014851
                     82,                0.41378,                0.44075,                0.97382,                0.99658,                      1,                  0.995,                0.97669,                0.24416,                0.23753,                0.82596,             0.00014144,             0.00014144,             0.00014144
                     83,                0.38669,                0.42192,                0.97133,                0.99704,                      1,                  0.995,                0.97916,                0.24131,                0.22609,                0.82603,             0.00013437,             0.00013437,             0.00013437
                     84,                0.40002,                0.45223,                0.97372,                0.99554,                0.99851,                  0.995,                0.97524,                0.24304,                0.22739,                0.82509,             0.00012731,             0.00012731,             0.00012731
                     85,                0.39475,                0.42933,                0.97103,                0.99546,                      1,                  0.995,                0.97816,                0.24137,                0.23312,                0.82691,             0.00012024,             0.00012024,             0.00012024
                     86,                0.39929,                0.43589,                0.97588,                0.99625,                      1,                  0.995,                0.97843,                0.24723,                0.23993,                0.83084,             0.00011317,             0.00011317,             0.00011317
                     87,                 0.3726,                0.42393,                0.95633,                0.99662,                      1,                  0.995,                0.98003,                0.23883,                 0.2335,                0.82734,              0.0001061,              0.0001061,              0.0001061
                     88,                0.36542,                0.40488,                0.95537,                0.99723,                      1,                  0.995,                0.98053,                0.23383,                0.22562,                0.82746,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.37959,                0.40223,                0.96515,                0.99724,                      1,                  0.995,                0.98028,                  0.239,                0.22387,                0.82952,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                 0.3795,                0.41361,                0.96632,                0.99704,                      1,                  0.995,                0.98101,                0.24125,                0.22427,                0.82779,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.26758,                0.32198,                0.87051,                0.99656,                      1,                  0.995,                 0.9796,                 0.2318,                0.23888,                 0.8225,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.24442,                0.29794,                0.86548,                0.99747,                      1,                  0.995,                0.98054,                0.24224,                0.24533,                0.82399,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.23624,                0.28872,                0.85842,                0.99765,                      1,                  0.995,                0.98111,                0.24395,                0.24566,                0.82125,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.24163,                0.27792,                0.85732,                0.99754,                      1,                  0.995,                0.98305,                0.23059,                0.24337,                0.81667,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.23069,                0.28034,                0.85939,                0.99719,                      1,                  0.995,                0.98265,                0.23095,                 0.2399,                0.81686,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.23146,                0.27953,                0.85233,                0.99592,                      1,                  0.995,                0.98401,                 0.2305,                0.23515,                0.81567,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.22568,                 0.2723,                0.85586,                0.99593,                      1,                  0.995,                0.98302,                0.23022,                0.23594,                0.81563,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.22561,                0.26373,                0.85604,                0.99714,                      1,                  0.995,                0.98405,                0.23026,                0.23517,                0.81658,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.23308,                0.26777,                0.84561,                0.99729,                      1,                  0.995,                 0.9838,                0.22991,                0.23201,                0.81501,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.23018,                0.26468,                0.85637,                0.99737,                      1,                  0.995,                0.98487,                0.22856,                0.22996,                0.81383,             1.4209e-05,             1.4209e-05,             1.4209e-05
